N,종목명,현재가,전일미,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
135,ÇÑÈ­,"32,100",250,-0.77%,"5,000","24,062","74,959",16.67,"227,876",5.43,4.79,
136,Çö´ëÂ÷¿ì,"98,500",900,-0.91%,"5,000","23,991","24,357",58.15,"50,151",4.99,N/A,
137,DLÀÌ¾Ø¾¾,"122,000","2,000",-1.61%,"5,000","23,618","19,359",25.49,"66,374",N/A,N/A,
138,ÇÑÈ­¿¡¾î·Î½ºÆäÀÌ½º,"46,050",300,-0.65%,"5,000","23,315","50,630",16.70,"306,065",8.36,4.78,
139,´õÁ¸ºñÁî¿Â,"75,200","1,200",-1.57%,500,"22,848","30,383",40.13,"87,563",36.81,15.09,
140,Çö´ë·ÎÅÛ,"20,600",250,-1.20%,"5,000","22,483","109,142",4.11,"331,900",71.78,2.84,
141,Çö´ëÇØ»ó,"24,900",350,+1.43%,500,"22,261","89,400",26.02,"286,420",5.82,7.13,
142,ÈÙ¶óÈ¦µù½º,"36,550",800,+2.24%,"1,000","22,205","60,752",44.66,"713,794",9.44,10.94,
143,ÀÏÁøÇÏÀÌ¼Ö·ç½º,"60,300",400,+0.67%,500,"21,897","36,313",3.35,"141,575",112.50,34.27,
144,ÇÑ»ù,"92,400",100,+0.11%,"1,000","21,745","23,534",17.99,"52,950",27.18,10.83,
145,ÇÏÀÌÆ®Áø·Î,"30,300",100,-0.33%,"5,000","21,250","70,134",4.45,"240,127",41.28,8.23,
146,È¿¼º,"100,000",0,0.00%,"5,000","21,071","21,071",8.27,"38,457",5.44,-2.26,
147,TIGER 200,"39,550",10,-0.03%,0,"20,882","52,800",0.00,"307,084",N/A,N/A,
148,Çö´ëÀ§¾Æ,"76,100","1,100",-1.42%,"5,000","20,695","27,195",6.70,"122,319",56.71,1.96,
149,ÄÚ¿À·ÕÀÎ´õ,"74,000","1,200",-1.60%,"5,000","20,364","27,519",19.21,"200,644",11.49,9.70,
150,·Ôµ¥Á¤¹ÐÈ­ÇÐ,"77,400","1,000",-1.28%,"5,000","19,969","25,800",22.00,"88,797",4.69,12.65,
151,¿µ¿ø¹«¿ª,"44,000",0,0.00%,500,"19,497","44,311",27.96,"81,265",8.46,8.03,
152,ÈÄ¼º,"20,600",300,-1.44%,500,"19,077","92,607",8.23,"1,058,759",69.36,2.79,
153,³ó½É,"312,000","1,000",-0.32%,"5,000","18,978","6,083",12.77,"38,686",17.78,7.50,
154,µÎ»ê,"113,500",500,+0.44%,"5,000","18,755","16,524",10.99,"59,399",-65.38,-34.34,
155,KODEX MSCI Korea TR,"12,740",5,-0.04%,0,"18,511","145,300",9.97,"273,053",N/A,N/A,
156,´ë¿õ,"31,700",900,+2.92%,500,"18,431","58,142",4.39,"60,406",17.46,15.10,
157,KODEX ·¹¹ö¸®Áö,"23,485",15,+0.06%,0,"18,365","78,200",4.71,"9,977,745",N/A,N/A,
158,½ÅÇ³Á¦¾à,"34,650","1,700",+5.16%,500,"18,359","52,985",11.61,"1,875,009","5,775.00",1.72,
159,ÇÑ¹Ì¹ÝµµÃ¼,"36,700",400,-1.08%,200,"18,152","49,460",6.43,"232,059",21.82,21.03,
160,ÇÑÀüKPS,"39,500",200,-0.50%,200,"17,775","45,000",6.57,"108,101",14.71,8.23,
161,ÄÉÀÌÄ«,"36,600","1,200",-3.17%,500,"17,600","48,087",17.80,"523,532",60.80,15.11,
162,Çö´ë¹éÈ­Á¡,"75,000",300,+0.40%,"5,000","17,552","23,402",18.00,"46,898",11.34,1.65,
163,NHN,"89,700","2,600",-2.82%,500,"17,550","19,565",18.28,"106,394",54.04,1.35,
164,TIGER ¹Ì±¹³ª½º´Ú100,"84,740",600,-0.70%,0,"17,448","20,590",0.01,"154,921",N/A,N/A,
165,´ë¿õÁ¦¾à,"149,000","3,000",+2.05%,"2,500","17,264","11,587",6.59,"22,417",149.60,2.38,
166,LS,"53,200",200,-0.37%,"5,000","17,130","32,200",14.34,"33,613",6.68,3.94,
167,¿À¶Ñ±â,"462,000","5,000",-1.07%,"5,000","16,965","3,672",12.10,"4,057",15.34,7.93,
168,Çö´ë¿¤¸®º£ÀÌ,"41,250",100,-0.24%,"5,000","16,836","40,815",28.78,"82,589",26.58,9.78,
169,KODEX ´Ü±âÃ¤±Ç,"103,050",10,-0.01%,0,"16,671","16,178",0.00,"6,893",N/A,N/A,
170,JB±ÝÀ¶ÁöÁÖ,"8,390",20,+0.24%,"5,000","16,527","196,983",41.44,"151,420",3.46,10.06,
171,DGB±ÝÀ¶ÁöÁÖ,"9,630",70,+0.73%,"5,000","16,289","169,146",48.99,"221,168",3.44,6.93,
172,LS ELECTRIC,"53,300",400,-0.74%,"5,000","15,990","30,000",18.22,"42,726",19.73,6.15,
173,ÇÑÀÏ½Ã¸àÆ®,"22,950",850,+3.85%,500,"15,896","69,262",2.61,"593,074",15.12,N/A,
174,´ëÇÑÀü¼±,"1,835",30,-1.61%,500,"15,716","856,473",2.55,"3,170,964",47.05,0.92,
175,µ¿±¹Á¦°­,"16,150",150,+0.94%,"5,000","15,412","95,433",23.45,"296,878",3.41,3.35,
176,HDCÇö´ë»ê¾÷°³¹ß,"23,350",50,-0.21%,"5,000","15,389","65,907",10.73,"80,638",5.07,8.85,
177,¸í½Å»ê¾÷,"29,000",700,-2.36%,500,"15,216","52,470",2.34,"738,773",-12.58,-67.39,
178,KODEX Á¾ÇÕÃ¤±Ç(AA-ÀÌ»ó)¾×Æ¼ºê,"108,460",10,-0.01%,0,"15,036","13,863",0.00,"2,640",N/A,N/A,
179,µ¿¿ø½Ã½ºÅÛÁî,"51,400",300,-0.58%,"5,000","15,003","29,188",13.23,"17,083",23.28,10.97,
180,ÇÑ±¹¾ØÄÄÆÛ´Ï,"15,700",200,-1.26%,500,"14,905","94,935",9.84,"59,124",6.03,5.08,
181,¾Æ½Ã¾Æ³ªÇ×°ø,"19,800",150,+0.76%,"5,000","14,734","74,412",8.06,"326,167",-3.40,-43.83,
182,PIÃ·´Ü¼ÒÀç,"49,800","1,100",-2.16%,500,"14,624","29,366",13.97,"181,592",25.00,15.62,
183,ÇÑÈ­ÅõÀÚÁõ±Ç,"6,800",120,+1.80%,"5,000","14,589","214,548",6.05,"21,336,090",11.43,5.58,
184,¿¡½º¿¤,"29,850",850,-2.77%,500,"14,389","48,203",15.88,"138,455",9.90,4.74,
185,TIGER ´Ü±âÅë¾ÈÃ¤,"100,470",5,0.00%,0,"14,259","14,192",0.86,"1,804",N/A,N/A,
186,·Ôµ¥·»Å»,"38,150",250,-0.65%,"5,000","13,976","36,634",1.53,"56,906",13.23,6.73,
187,TIGER MSCI Korea TR,"16,030",20,+0.12%,0,"13,786","86,000",0.00,"9,074",N/A,N/A,
188,·Ôµ¥¸®Ã÷,"5,620",10,-0.18%,500,"13,655","242,969",9.63,"103,085",35.12,1.68,
189,LIG³Ø½º¿ø,"62,000",900,-1.43%,"5,000","13,640","22,000",6.69,"239,607",14.45,8.86,
190,ÄÚ½º¸ð½Å¼ÒÀç,"45,200",150,+0.33%,"1,000","13,599","30,087",6.09,"268,845",57.95,7.16,
191,F&FÈ¦µù½º,"34,350",250,-0.72%,500,"13,436","39,114",0.92,"80,450",0.28,16.59,
192,¾ÆÀÌ¿¡½ºµ¿¼­,"43,350",500,-1.14%,500,"13,392","30,893",4.95,"37,754",24.83,10.92,
193,ÇÁ·¹½ºÆ¼Áö¹ÙÀÌ¿ÀÆÄ¸¶,"22,250",400,-1.77%,0,"13,371","60,096",61.92,"130,370",-156.69,-1.78,
194,Á¾±Ù´ç,"117,000","1,500",+1.30%,"2,500","13,369","11,426",8.02,"40,178",25.55,17.88,
195,´ëÇÑÀ¯È­,"201,000",0,0.00%,"5,000","13,065","6,500",12.02,"28,200",6.25,6.93,
196,LG»ýÈ°°Ç°­¿ì,"620,000","8,000",+1.31%,"5,000","13,018","2,100",84.43,"1,927",12.90,N/A,
197,DL,"62,100",400,-0.64%,"5,000","13,014","20,956",12.65,"32,083",1.97,11.84,
198,KODEX »ï¼º±×·ì,"9,855",35,+0.36%,0,"13,009","132,000",0.39,"103,891",N/A,N/A,
199,KODEX 200TR,"12,970",5,-0.04%,0,"12,840","99,000",0.02,"20,425",N/A,N/A,
200,±ÝÈ£Å¸ÀÌ¾î,"4,430",20,+0.45%,"5,000","12,726","287,260",4.16,"869,375",-17.72,-6.74,
